Anime,1st recomm,2nd recomm,3rd recomm
Sakura-sou no Pet na Kanojo,Senpai ga Uzai Kouhai no Hanashi,Toradora!,"Ijiranaide, Nagatoro-san"
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Re:Zero kara Hajimeru Isekai Seikatsu,Death Parade,Golgo 13 (TV)
Seikaisuru Kado,Akudama Drive,Dimension W,Clockwork Planet
Seirei Gensouki,Sword Art Online,Cike Wu Liuqi,Kiznaiver
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Hataraku Maou-sama!,InuYasha,Kokoro Connect
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",BlazBlue: Alter Memory,Goblin Slayer,Akame ga Kill!
Senpai ga Uzai Kouhai no Hanashi,"Ijiranaide, Nagatoro-san",Gokushufudou,Sakura-sou no Pet na Kanojo
Servamp,JoJo no Kimyou na Bouken (TV),Saiyuuki Reload Blast,Owari no Seraph
Shakunetsu Kabaddi,Iwa Kakeru!: Sport Climbing Girls,Haikyuu!!,Slam Dunk
Shaman King,Bungou Stray Dogs,Yozakura Quartet: Hana no Uta,One Punch Man
Shigatsu wa Kimi no Uso,Suki tte Ii na yo.,Orange,Ao Haru Ride
Shiguang Dailiren,Summertime Render,Saiki Kusuo no Ψ-nan,Gleipnir
Shijou Saikyou no Deshi Kenichi,Ansatsu Kyoushitsu,Slam Dunk,Haikyuu!!
Shingeki no Kyojin,Taboo Tattoo,Darwin's Game,Darker than Black: Kuro no Keiyakusha
Shinigami Bocchan to Kuro Maid,Hataraku Maou-sama!,InuYasha,Fruits Basket 1st Season
Shokugeki no Souma,Baki,Kengan Ashura,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
Shouwa Genroku Rakugo Shinjuu,Gangsta.,Banana Fish,Mushoku Tensei: Isekai Ittara Honki Dasu
Shuumatsu no Walküre,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,11eyes,Shaman King
SK∞,Aoharu x Kikanjuu,Eyeshield 21,Hajime no Ippo
Slam Dunk,Prince of Stride: Alternative,Iwa Kakeru!: Sport Climbing Girls,Shakunetsu Kabaddi
Sono Bisque Doll wa Koi wo Suru,Gokushufudou,Toradora!,Senpai ga Uzai Kouhai no Hanashi
Soul Eater,Noragami,Mairimashita! Iruma-kun,Baccano!
Spy x Family,Pokemon XY,Toriko,Digimon Adventure
Star Wars: Visions,Youjo Senki,Cyberpunk: Edgerunners,Dimension W
Steins;Gate,Re:Zero kara Hajimeru Isekai Seikatsu,Mirai Nikki (TV),Psycho-Pass
Subete ga F ni Naru,Id:Invaded,Yakusoku no Neverland,Inuyashiki
Suki tte Ii na yo.,Shigatsu wa Kimi no Uso,Orange,Kanojo mo Kanojo
Summertime Render,Boku dake ga Inai Machi,Shiguang Dailiren,Bakemonogatari
Sword Art Online,Yu☆Gi☆Oh! Duel Monsters,Goblin Slayer,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Taboo Tattoo,Deatte 5-byou de Battle,11eyes,Shuumatsu no Walküre
Tate no Yuusha no Nariagari,Akame ga Kill!,Kami no Tou,Goblin Slayer
Tengen Toppa Gurren Lagann,Dr. Stone,The God of High School,Hinamatsuri (TV)
Tensei shitara Ken Deshita,BlazBlue: Alter Memory,Goblin Slayer,Hai to Gensou no Grimgar
Terra Formars,Kiseijuu: Sei no Kakuritsu,Gantz,Deadman Wonderland
The God of High School,Soul Eater,Musaigen no Phantom World,No Game No Life
Tokyo Ghoul,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Ajin
Tokyo Revengers,Jujutsu Kaisen,Gakusen Toshi Asterisk,Mahouka Koukou no Rettousei
Tomodachi Game,Lycoris Recoil,Jormungand,Chainsaw Man
Tonari no Kaibutsu-kun,Ao Haru Ride,Kanojo mo Kanojo,Masamune-kun no Revenge
Toradora!,Gokushufudou,"Ijiranaide, Nagatoro-san",Sakura-sou no Pet na Kanojo
Toriko,Pokemon XY,Kono Subarashii Sekai ni Shukufuku wo!,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Trigun,Tengen Toppa Gurren Lagann,Pokemon XY,Toriko
Uma Musume: Pretty Derby,Ashita no Joe,SK∞,Keppeki Danshi! Aoyama-kun
Ushio to Tora (TV),Yuu☆Yuu☆Hakusho,Kuroshitsuji,Ao no Exorcist
Vinland Saga,Princess Principal,Young Black Jack,Banana Fish
Violet Evergarden,3-gatsu no Lion,Bokutachi no Remake,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
Vivy: Fluorite Eye's Song,Made in Abyss,Divine Gate,Steins;Gate
Wizard Barristers: Benmashi Cecil,ACCA: 13-ku Kansatsu-ka,Yuu☆Yuu☆Hakusho,86
Wonder Egg Priority,Hai to Gensou no Grimgar,Akame ga Kill!,Tate no Yuusha no Nariagari
World Trigger,Soul Eater,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Black Bullet
Wotaku ni Koi wa Muzukashii,Rikei ga Koi ni Ochita no de Shoumei shitemita.,5-toubun no Hanayome,5-toubun no Hanayome
Yakusoku no Neverland,Tokyo Ghoul,Re:Zero kara Hajimeru Isekai Seikatsu,Mirai Nikki (TV)
Yasuke,Brave 10,Rurouni Kenshin: Meiji Kenkaku Romantan,Gintama
Youjo Senki,God Eater,Fullmetal Alchemist,Mahou Sensou
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Beastars,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Tokyo Revengers
Young Black Jack,Vinland Saga,Princess Principal,Joker Game
Yowamushi Pedal,Hajime no Ippo,SK∞,Keppeki Danshi! Aoyama-kun
Yozakura Quartet: Hana no Uta,Bleach,Bungou Stray Dogs,One Punch Man
Yu☆Gi☆Oh! Duel Monsters,Tensei shitara Ken Deshita,BlazBlue: Alter Memory,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Yuu☆Yuu☆Hakusho,Saiyuuki Reload Blast,Blood Lad,Kuroshitsuji
Yuukoku no Moriarty,Re:Zero kara Hajimeru Isekai Seikatsu,Rainbow: Nisha Rokubou no Shichinin,Death Parade
Zankyou no Terror,Re:Zero kara Hajimeru Isekai Seikatsu,Death Parade,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru
