Anime,1st recomm,2nd recomm,3rd recomm
Shuumatsu no Walkyrie,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,11eyes,Bleach
Star Wars: Visions,Beyblade Burst,Dimension W,Cyberpunk: Edgerunners
Violet Evergarden,Blue Period,Bokutachi no Remake,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
Vivy: Fluorite Eye's Song,Made in Abyss,Steins;Gate,Golgo 13 (TV)
Wizard Barristers: Benmashi Cecil,Id:Invaded,Yuu Yuu Hakusho,86
Wonder Egg Priority,Fullmetal Alchemist: Brotherhood,Akame ga Kill!,Hai to Gensou no Grimgar
World Trigger,Black Bullet,Saint Seiya,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
Wotaku ni Koi wa Muzukashii,Gekkan Shoujo Nozaki-kun,5-toubun no Hanayome,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken
Yakusoku no Neverland,Tokyo Ghoul,Gantz,Monster
Yasuke,Brave 10,Rurouni Kenshin: Meiji Kenkaku Romantan,Gintama
Youjo Senki,God Eater,Mahou Sensou,Shingeki no Kyojin
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Beastars,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Tokyo Revengers
Young Black Jack,Vinland Saga,Princess Principal,Joker Game
Yowamushi Pedal,Major 2nd,Keppeki Danshi! Aoyama-kun,SK8
