Anime,1st recomm,2nd recomm,3rd recomm
Kiznaiver,Natsume Yuujinchou,Ousama Ranking,Horimiya
Kobayashi-san Chi no Maid Dragon,Iwa Kakeru!: Sport Climbing Girls,Deatte 5-byou de Battle,Mahou Sensou
Kokkoku,Summertime Render,91 Days,Bokutachi no Remake
Kokoro Connect,Rainbow: Nisha Rokubou no Shichinin,Beyblade Burst,Charlotte
"Komi-san wa, Comyushou desu.",Shijou Saikyou no Deshi Kenichi,Bakuman.,Ballroom e Youkoso
Kono Subarashii Sekai ni Shukufuku wo!,Mieruko-chan,Bleach,Deadman Wonderland
Koutetsujou no Kabaneri,God Eater,Owari no Seraph,Vivy: Fluorite Eye's Song
Kumichou Musume to Sewagakari,Joker Game,One Piece,Blood Lad
Kuroko no Basket,Haikyuu!!,Buzzer Beater,Yojouhan Shinwa Taikei
Kuroshitsuji,Rokka no Yuusha,Taboo Tattoo,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Kyoukai no Kanata,Soul Eater,Bleach,Fate/stay night
Log Horizon,Zankyou no Terror,Slam Dunk,Jaku-Chara Tomozaki-kun
Lycoris Recoil,Highschool of the Dead,Zankyou no Terror,Brave 10
Made in Abyss,Elfen Lied,Hunter x Hunter (2011),Cike Wu Liuqi
Magi: The Labyrinth of Magic,K,Saihate no Paladin,Fairy Tail
Magic Kaito 1412,Banana Fish,Boku dake ga Inai Machi,Kill la Kill
Mahou Sensou,Wotaku ni Koi wa Muzukashii,Wonder Egg Priority,Kokkoku
Mahouka Koukou no Rettousei,"Ijiranaide, Nagatoro-san",Overlord,Pokemon (2019)
Mairimashita! Iruma-kun,Yuu Yuu Hakusho,Kokkoku,Makai Ouji: Devils and Realist
Major 2nd,Hotarubi no Mori e,Buzzer Beater,Devil May Cry
Makai Ouji: Devils and Realist,ChainsawMan,Hotarubi no Mori e,Yuu Yuu Hakusho
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",God Eater,Devil Survivor 2 The Animation,Akame ga Kill!
Masamune-kun no Revenge,Gekkan Shoujo Nozaki-kun,Katekyo Hitman Reborn!,Slam Dunk
Mayoiga,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Akudama Drive,Odd Taxi
Megalo Box,Re:Zero kara Hajimeru Isekai Seikatsu,Gokushufudou,Hinomaru Zumou
Mieruko-chan,Kono Subarashii Sekai ni Shukufuku wo!,High School DxD,Gleipnir
Mirai Nikki (TV),Blue Period,Shijou Saikyou no Deshi Kenichi,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
Mob Psycho 100,Jujutsu Kaisen,Phi Brain: Kami no Puzzle,Magic Kaito 1412
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Hinamatsuri (TV),Mayoiga
Monster,Kobayashi-san Chi no Maid Dragon,Ranma 1/2,Wotaku ni Koi wa Muzukashii
Mousou Dairinin,Naruto,Death Note,Spy x Family
Munou na Nana,Naruto,Ao no Exorcist: Kyoto Fujouou-hen,God Eater
Musaigen no Phantom World,Owari no Seraph,Ao no Exorcist: Kyoto Fujouou-hen,Munou na Nana
Mushishi,Saiki Kusuo no nan,Hamatora The Animation,Kami no Tou
Mushoku Tensei: Isekai Ittara Honki Dasu,Suki tte Ii na yo.,Fullmetal Alchemist: Brotherhood,Bokutachi no Remake
Naruto,Ao no Exorcist: Kyoto Fujouou-hen,Mousou Dairinin,World Trigger
Natsume Yuujinchou,Ousama Ranking,Subete ga F ni Naru,Kiznaiver
Needless,Zankyou no Terror,Bubble,God Eater
Neon Genesis Evangelion,Zankyou no Terror,Shingeki no Kyojin,Giant Killing
Nisekoi,Cardcaptor Sakura,Kimi no Na wa.,Mairimashita! Iruma-kun
No Game No Life,Kami no Tou,Elfen Lied,Golgo 13 (TV)
Noragami,Darker than Black: Kuro no Keiyakusha,Black Clover,Yuu Yuu Hakusho
Odd Taxi,Banana Fish,ChainsawMan,Devil May Cry
One Piece,Kumichou Musume to Sewagakari,K,Naruto
One Punch Man,D.Gray-man,Baki,Kuroko no Basket
Orange,Sen to Chihiro no Kamikakushi,Another,Yojouhan Shinwa Taikei
Ousama Ranking,Natsume Yuujinchou,Shinigami Bocchan to Kuro Maid,Kiznaiver
Overlord,Saihate no Paladin,Subete ga F ni Naru,Bishoujo Senshi Sailor Moon
Owari no Seraph,Black Bullet,Highschool of the Dead,Shingeki no Kyojin
Paripi Koumei,Drifters,Golden Kamuy,One Piece
Persona 4 the Animation,Bleach,Boku dake ga Inai Machi,Ranpo Kitan: Game of Laplace
Phi Brain: Kami no Puzzle,Detective Conan,Rakudai Kishi no Cavalry,Gleipnir
Ping Pong the Animation,Yowamushi Pedal,Tokyo Revengers,Keppeki Danshi! Aoyama-kun
Pokemon (2019),Wizard Barristers: Benmashi Cecil,Mahouka Koukou no Rettousei,Shijou Saikyou no Deshi Kenichi
Prince of Stride: Alternative,Captain Tsubasa,Keijo!!!!!!!!,Shakunetsu Kabaddi
Princess Principal,Qualidea Code,86,Darker than Black: Kuro no Keiyakusha
Psycho-Pass,Code Geass: Hangyaku no Lelouch,Gintama,Lycoris Recoil
Qualidea Code,Gintama,Needless,Princess Principal
Rainbow: Nisha Rokubou no Shichinin,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Dr. Stone,Shouwa Genroku Rakugo Shinjuu
Rakudai Kishi no Cavalry,Phi Brain: Kami no Puzzle,Gleipnir,Bleach
Ranma 1/2,Hanebado!,High School DxD,Gleipnir
Ranpo Kitan: Game of Laplace,Bleach,Sakura-sou no Pet na Kanojo,Fate/stay night
Re:Zero kara Hajimeru Isekai Seikatsu,Gokushufudou,Jormungand,Odd Taxi
Re-Main,Seirei Gensouki,Bungou Stray Dogs,Ranpo Kitan: Game of Laplace
Rikei ga Koi ni Ochita no de Shoumei shitemita.,Mushishi,Saiki Kusuo no nan,Koukaku Kidoutai: Stand Alone Complex
Rokka no Yuusha,Saihate no Paladin,Naruto,Kuroshitsuji
Romeo x Juliet,InuYasha,86,God Eater
Rurouni Kenshin: Meiji Kenkaku Romantan,Golden Kamuy,Magic Kaito 1412,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
Ryman's Club,Haikyuu!!,Ballroom e Youkoso,Aoi Sekai no Chuushin de
Saihate no Paladin,Fate/stay night,Jujutsu Kaisen,Overlord
Saiki Kusuo no nan,Kami no Tou,Rikei ga Koi ni Ochita no de Shoumei shitemita.,Mushishi
Saint Seiya,Taboo Tattoo,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,One Punch Man
Saiyuuki Reload Blast,God Eater,86,Violet Evergarden
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Wonder Egg Priority,Kyoukai no Kanata,Saihate no Paladin
Sakura-sou no Pet na Kanojo,Gleipnir,Ao no Exorcist: Kyoto Fujouou-hen,Highschool of the Dead
Seikaisuru Kado,DRAMAtical Murder,Hakata Tonkotsu Ramens,Odd Taxi
Seirei Gensouki,Boku dake ga Inai Machi,Re-Main,Makai Ouji: Devils and Realist
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Musaigen no Phantom World,Angel Beats!,Ao no Exorcist: Kyoto Fujouou-hen
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Black Cat (TV),Fate/stay night
Senpai ga Uzai Kouhai no Hanashi,Ao Haru Ride,Zetsuen no Tempest,Mairimashita! Iruma-kun
Servamp,"Komi-san wa, Comyushou desu.",Ballroom e Youkoso,Yuu Yuu Hakusho
Shakunetsu Kabaddi,BlueLock,Captain Tsubasa,Days (TV)
Shaman King,The God of High School,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Keijo!!!!!!!!
Shigatsu wa Kimi no Uso,Ryman's Club,Hinamatsuri (TV),Hanebado!
Shijou Saikyou no Deshi Kenichi,"Komi-san wa, Comyushou desu.",Blue Period,Deatte 5-byou de Battle
Shingeki no Kyojin,God Eater,Vivy: Fluorite Eye's Song,Hataraku Maou-sama!
Shinigami Bocchan to Kuro Maid,Fullmetal Alchemist: Brotherhood,ChainsawMan,Natsume Yuujinchou
Shokugeki no Souma,Hajime no Ippo,Ushio to Tora (TV),Kenpuu Denki Berserk
Shouwa Genroku Rakugo Shinjuu,Gintama,Deadman Wonderland,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen
SK8,Baki,Ranma 1/2,Tensei shitara Ken Deshita
Slam Dunk,Charlotte,Highschool of the Dead,Hanebado!
Sono Bisque Doll wa Koi wo Suru,Bakuman.,Shigatsu wa Kimi no Uso,Nichijou
Soul Eater,Kyoukai no Kanata,Highschool of the Dead,Fate/stay night
Spy x Family,Akame ga Kill!,86,Mousou Dairinin
Steins;Gate,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Jujutsu Kaisen,Young Black Jack
Subete ga F ni Naru,Kill la Kill,Suki tte Ii na yo.,Kono Subarashii Sekai ni Shukufuku wo!
Suki tte Ii na yo.,Clannad,Fullmetal Alchemist: Brotherhood,Summertime Render
Summertime Render,Golden Kamuy,Suki tte Ii na yo.,91 Days
Sword Art Online,Id:Invaded,Koukaku Kidoutai: Stand Alone Complex,Saihate no Paladin
Taboo Tattoo,Kenpuu Denki Berserk,Ashita no Joe,Hunter x Hunter (2011)
Tate no Yuusha no Nariagari,Donten ni Warau,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Golden Kamuy
Tengen Toppa Gurren Lagann,Yuu Yuu Hakusho,Ballroom e Youkoso,Kami no Tou
Tensei shitara Ken Deshita,Fate/stay night,Gleipnir,Elfen Lied
Terra Formars,Cowboy Bebop,God Eater,Kiseijuu: Sei no Kakuritsu
The God of High School,Prince of Stride: Alternative,Baki,Phi Brain: Kami no Puzzle
Tokyo Ghoul,Blood Lad,Highschool of the Dead,Log Horizon
Tokyo Revengers,Great Teacher Onizuka,Blue Period,Mairimashita! Iruma-kun
Tomodachi Game,Another,Yowamushi Pedal,5-toubun no Hanayome
Tonari no Kaibutsu-kun,Clannad,Katekyo Hitman Reborn!,5-toubun no Hanayome
Toradora!,Blue Period,Eyeshield 21,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
Toriko,Saihate no Paladin,Baccano!,Cowboy Bebop
Trigun,Naruto,Death Note,God Eater
Uma Musume: Pretty Derby,Golden Kamuy,Nana,Gekkan Shoujo Nozaki-kun
Ushio to Tora (TV),Kill la Kill,5-toubun no Hanayome,Fullmetal Alchemist: Brotherhood
Aggressive Retsuko (ONA),Odd Taxi,Beastars,Kuroshitsuji
Vinland Saga,Kami no Tou,ACCA: 13-ku Kansatsu-ka,Steins;Gate
Aggressive Retsuko (ONA),Odd Taxi,Beastars,Kuroshitsuji
Aoi Sekai no Chuushin de,Zankyou no Terror,Mousou Dairinin,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
Baki,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Fate/stay night,Highschool of the Dead
BlueLock,Shakunetsu Kabaddi,Days (TV),Giant Killing
Cike Wu Liuqi,Koutetsujou no Kabaneri,Black Cat (TV),Death Note
Cyberpunk: Edgerunners,Suki tte Ii na yo.,Brave 10,High School DxD
Gokushufudou,Magic Kaito 1412,ChainsawMan,Re:Zero kara Hajimeru Isekai Seikatsu
Kengan Ashura,Gangsta.,Arcana Famiglia,K
Shiguang Dailiren,Sword Art Online,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Kami no Tou
Shuumatsu no Walkyrie,Neon Genesis Evangelion,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Hataraku Maou-sama!
Star Wars: Visions,Keijo!!!!!!!!,Yowamushi Pedal,Jaku-Chara Tomozaki-kun
Violet Evergarden,Angel Beats!,God Eater,Boku dake ga Inai Machi
Vivy: Fluorite Eye's Song,Koutetsujou no Kabaneri,Shingeki no Kyojin,Devil Survivor 2 The Animation
Wizard Barristers: Benmashi Cecil,Gintama,Star Wars: Visions,Katanagatari
Wonder Egg Priority,Zombieland Saga,Natsume Yuujinchou,Cyberpunk: Edgerunners
World Trigger,Munou na Nana,Ao no Exorcist: Kyoto Fujouou-hen,God Eater
Wotaku ni Koi wa Muzukashii,Kobayashi-san Chi no Maid Dragon,Mahou Sensou,Kokkoku
Yakusoku no Neverland,Dragon Ball,Nichijou,Servamp
Yasuke,Gintama,Neon Genesis Evangelion,Tokyo Ghoul
